countrycode,seriescode,Description
IND,SL.UEM.TOTL.MA.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.EMP.1524.SP.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SL.EMP.1524.SP.MA.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
IND,MS.MIL.XPND.CN,1960-1987 SIPRI estimates.
IND,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country."
IND,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
IND,IT.CEL.SETS,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.
IND,SL.UEM.TOTL.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
IND,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
IND,SL.EMP.1524.SP.FE.ZS,"The reference period covers the calendar year for the ILO-modeled estimates. In contrast, the corresponding national estimate series, based on the Periodic Labour Force Survey (PLFS), refers to the period from July to June. While the trends align in normal circumstances, in 2020, a significant economic and labor market impact (due to the COVID pandemic) contributed to the divergences between the PLFS-based and ILO-modeled estimates."
IND,EG.ELC.ACCS.ZS,"2001 and 2011 represent census data, while the modeled estimates follow linear projections for the other years based on the overall country trend in household surveys."
IND,EG.ELC.ACCS.UR.ZS,"2001 and 2011 represent census data, while the modeled estimates follow linear projections for the other years based on the overall country trend in household surveys."
IND,EG.ELC.ACCS.RU.ZS,"2001 and 2011 represent census data, while the modeled estimates follow linear projections for the other years based on the overall country trend in household surveys."
IND,DT.DOD.DPPG.CD,Data prior to 2003 are mechanically adjusted from fiscal year to calendar year.
IND,DT.DOD.DPNG.CD,Data prior to 2003 are mechanically adjusted from fiscal year to calendar year.
IND,CM.MKT.TRAD.CD,Source: BSE India: https://www.bseindia.com/markets/equity/EQReports/allindiamktcap.aspx
IND,CM.MKT.LDOM.NO,Source: World Federation of Exchanges & BSE India: https://www.bseindia.com/markets/equity/EQReports/allindiamktcap.aspx
IND,CM.MKT.LCAP.CD,Source: BSE India: https://www.bseindia.com/markets/equity/EQReports/allindiamktcap.aspx
IND,MS.MIL.XPND.ZS,1960-1987 SIPRI estimates.
IND,MS.MIL.XPND.CD,1960-1987 SIPRI estimates.
IND,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
IND,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
IND,SM.POP.NETM,Data source: United Nations World Population Prospects
IND,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
IND,IT.MLT.MAIN,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.
IND,IT.MLT.MAIN.P2,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.
IND,IT.NET.BBND.P2,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.
IND,IS.RRS.GOOD.MT.K6,Source: OECD
IND,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
JPN,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
JPN,IT.NET.BBND,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).
JPN,IS.RRS.GOOD.MT.K6,Source: OECD
JPN,MS.MIL.XPND.CD,1960-1964 SIPRI estimates.
JPN,IT.CEL.SETS,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).
JPN,ST.INT.TVLR.CD,"Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 2003: the calculation method has been changed since January 2003.
2006: the calculation method has been changed since January 2006."
JPN,SP.DYN.LE00.FE.IN,"Data source: Ministry of Internal Affairs and Communications, Statistics Bureau"
JPN,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
JPN,CM.MKT.TRNR,Method of calculation: Data is taken from Japan Exchange Group
JPN,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
JPN,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding nationals residing abroad.
JPN,SP.DYN.TFRT.IN,"Data source: Ministry of Internal Affairs and Communications, Statistics Bureau"
JPN,SP.DYN.LE00.IN,Derived using male and female life expectancy
JPN,IT.NET.USER.ZS,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).
JPN,SP.POP.TOTL,Data source: Statistics Bureau of Japan
JPN,SP.DYN.AMRT.MA,"Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
JPN,IT.NET.BBND.P2,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).
JPN,IT.MLT.MAIN.P2,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).
JPN,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
JPN,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
JPN,SM.POP.NETM,Data source: United Nations World Population Prospects
JPN,MS.MIL.XPND.ZS,1960-1964 SIPRI estimates.
JPN,SP.DYN.LE00.MA.IN,"Data source: Ministry of Internal Affairs and Communications, Statistics Bureau"
JPN,MS.MIL.XPND.CN,1960-1964 SIPRI estimates.
JPN,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
JPN,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 2003: the calculation method has been changed since January 2003. 2006: the calculation method has been changed since January 2006.
JPN,SP.DYN.AMRT.FE,"Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
JPN,IT.CEL.SETS.P2,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).
JPN,IS.RRS.PASG.KM,Source: OECD
JPN,IT.MLT.MAIN,Ministry of Internal Affairs and Communications (MIC); Telecommunications Carriers Associations (TCA).
JPN,SP.DYN.CBRT.IN,"Data source: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
JPN,SP.POP.GROW,Data source: Statistics Bureau of Japan
JPN,MS.MIL.XPND.GD.ZS,1960-1964 SIPRI estimates.
JPN,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
JPN,ST.INT.DPRT,Includes overnight visitors (tourists) and same-day visitors (excursionists).
JPN,SP.DYN.CDRT.IN,"Data source: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
KHM,IT.MLT.MAIN.P2,Ministry of Post and Telecommunications (MPTC).
KHM,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KHM,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KHM,ST.INT.DPRT,Includes overnight visitors (tourists) only.
KHM,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. 1995-1997: arrivals by air. From 1998 arrivals by all means of transport.
KHM,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
KHM,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
KHM,MS.MIL.XPND.ZS,1986-1993 SIPRI estimates.
KHM,IT.CEL.SETS.P2,Ministry of Post and Telecommunications (MPTC).
KHM,IT.CEL.SETS,Ministry of Post and Telecommunications (MPTC).
KHM,SM.POP.NETM,Data source: United Nations World Population Prospects
KHM,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
KHM,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
KHM,SP.POP.GROW,Data source: United Nations World Population Prospects
KHM,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
KHM,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
KHM,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KHM,MS.MIL.XPND.CN,1986-1993 SIPRI estimates.
KHM,MS.MIL.XPND.CD,1986-1993 SIPRI estimates.
KHM,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.  Data include the effects of MDRI debt relief. DSSI eligible and not participating in 2020 and 2021."
KHM,IT.NET.BBND.P2,Ministry of Post and Telecommunications (MPTC).
KHM,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KHM,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KHM,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
KHM,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
KHM,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
KHM,IT.NET.USER.ZS,Ministry of Post and Telecommunications (MPTC).
KHM,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KHM,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
KHM,MS.MIL.XPND.GD.ZS,1986-1993 SIPRI estimates.
KHM,IT.MLT.MAIN,Ministry of Post and Telecommunications (MPTC).
KHM,SP.POP.TOTL,Data source: United Nations World Population Prospects
KHM,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
KHM,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
KHM,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
KHM,IT.NET.BBND,Ministry of Post and Telecommunications (MPTC).
KOR,SM.POP.NETM,Data source: United Nations World Population Prospects
KOR,IT.CEL.SETS.P2,Ministry of Information and Communication. Korea Communications Commission.
KOR,MS.MIL.XPND.ZS,1960-2004 SIPRI estimates.
KOR,SP.DYN.LE00.FE.IN,"Data source: Korean Statistical Information Service, United Nations World Population Prospects"
KOR,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KOR,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Including nationals residing abroad and crew members.
KOR,SP.POP.TOTL,Data source: Korean Statistical Information Service
KOR,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
KOR,MS.MIL.XPND.GD.ZS,1960-2004 SIPRI estimates.
KOR,SP.POP.GROW,Data source: Korean Statistical Information Service
KOR,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KOR,IT.NET.USER.ZS,Ministry of Information and Communication. Korea Communications Commission.
KOR,IS.RRS.GOOD.MT.K6,Source: OECD
KOR,SP.DYN.LE00.IN,Derived using male and female life expectancy
KOR,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
KOR,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KOR,IS.RRS.PASG.KM,Source: OECD
KOR,SP.DYN.CDRT.IN,Data source: Korean Statistical Information Service
KOR,IT.CEL.SETS,Ministry of Information and Communication. Korea Communications Commission.
KOR,IT.MLT.MAIN.P2,Ministry of Information and Communication. Korea Communications Commission.
KOR,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KOR,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KOR,ST.INT.DPRT,Includes overnight visitors (tourists) and same-day visitors (excursionists).
KOR,SP.DYN.TFRT.IN,"Data source: Korean Statistical Information Service, United Nations World Population Prospects"
KOR,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
KOR,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
KOR,IT.NET.BBND,Ministry of Information and Communication. Korea Communications Commission.
KOR,SP.DYN.LE00.MA.IN,"Data source: Korean Statistical Information Service, United Nations World Population Prospects"
KOR,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
KOR,IT.NET.BBND.P2,Ministry of Information and Communication. Korea Communications Commission.
KOR,SP.DYN.CBRT.IN,Data source: Korean Statistical Information Service
KOR,MS.MIL.XPND.CD,1960-2004 SIPRI estimates.
KOR,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
KOR,MS.MIL.XPND.CN,1960-2004 SIPRI estimates.
KOR,IT.MLT.MAIN,Ministry of Information and Communication. Korea Communications Commission.
LAO,IT.MLT.MAIN,"Lao Telecommunications Co., Ltd.; Ministère des communications, transports, postes et de la construction. National Authority of Post and Telecommunication."
LAO,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
LAO,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
LAO,SM.POP.NETM,Data source: United Nations World Population Prospects
LAO,IT.MLT.MAIN.P2,"Lao Telecommunications Co., Ltd.; Ministère des communications, transports, postes et de la construction. National Authority of Post and Telecommunication."
LAO,ST.INT.DPRT,Includes overnight visitors (tourists) and same-day visitors (excursionists).
LAO,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LAO,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
LAO,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LAO,IT.NET.USER.ZS,"Lao Telecommunications Co., Ltd.; Ministère des communications, transports, postes et de la construction. National Authority of Post and Telecommunication."
LAO,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
LAO,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
LAO,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LAO,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LAO,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
LAO,SP.POP.GROW,Data source: United Nations World Population Prospects
LAO,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LAO,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt for 2024 is based on data from the BIS. DSSI eligible and not participating in 2020 and 2021.
LAO,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
LAO,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LAO,SP.POP.TOTL,Data source: United Nations World Population Prospects
LAO,IT.CEL.SETS,"Lao Telecommunications Co., Ltd.; Ministère des communications, transports, postes et de la construction. National Authority of Post and Telecommunication."
LAO,IT.NET.BBND.P2,"Lao Telecommunications Co., Ltd.; Ministère des communications, transports, postes et de la construction. National Authority of Post and Telecommunication."
LAO,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
LAO,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.
LAO,IT.CEL.SETS.P2,"Lao Telecommunications Co., Ltd.; Ministère des communications, transports, postes et de la construction. National Authority of Post and Telecommunication."
LAO,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
LAO,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
LAO,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
LAO,IT.NET.BBND,"Lao Telecommunications Co., Ltd.; Ministère des communications, transports, postes et de la construction. National Authority of Post and Telecommunication."
LKA,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
LKA,ST.INT.ARVL,Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.
LKA,IT.NET.USER.ZS,Telecommunications Regulatory Commission of Sri Lanka.
LKA,IT.NET.BBND,Telecommunications Regulatory Commission of Sri Lanka.
LKA,SP.POP.GROW,"Data source: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects"
LKA,SP.POP.TOTL,"Data source: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects"
LKA,SP.DYN.CDRT.IN,"Data source: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects"
LKA,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
LKA,ST.INT.DPRT,Includes overnight visitors (tourists) only.
LKA,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
LKA,IT.MLT.MAIN.P2,Telecommunications Regulatory Commission of Sri Lanka.
LKA,IT.NET.BBND.P2,Telecommunications Regulatory Commission of Sri Lanka.
LKA,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
LKA,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private non-guaranteed and short-term debt data for 2024 are based on reports provided by the country. Data include the effects of recent debt restructuring."
LKA,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
LKA,SP.DYN.CBRT.IN,"Data source: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects"
LKA,MS.MIL.XPND.ZS,1960-2003 SIPRI estimates.
LKA,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LKA,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
LKA,IT.MLT.MAIN,Telecommunications Regulatory Commission of Sri Lanka.
LKA,MS.MIL.XPND.CD,1960-2003 SIPRI estimates.
LKA,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LKA,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
LKA,MS.MIL.XPND.CN,1960-2003 SIPRI estimates.
LKA,MS.MIL.XPND.GD.ZS,1960-2003 SIPRI estimates.
LKA,IS.RRS.PASG.KM,Source: Internation Union of Railways (UIC)
LKA,SM.POP.NETM,Data source: United Nations World Population Prospects
LKA,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
LKA,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LKA,IT.CEL.SETS.P2,Telecommunications Regulatory Commission of Sri Lanka.
LKA,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LKA,IS.RRS.GOOD.MT.K6,Source: Internation Union of Railways (UIC)
LKA,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
LKA,VC.IHR.PSRC.P5,Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.
LKA,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LKA,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
LKA,IT.CEL.SETS,Telecommunications Regulatory Commission of Sri Lanka.
MAC,SP.POP.TOTL,"Data source: Statistics and Census Service of Government of Macao SAR China, United Nations World Population Prospects"
MAC,IT.CEL.SETS,Ministry of Information Industry and Ministry of Posts and Telecommunications (Directorate General of Telecommunications).  Bureau of Telecommunications Regulation
MAC,IT.MLT.MAIN,Ministry of Information Industry and Ministry of Posts and Telecommunications (Directorate General of Telecommunications).  Bureau of Telecommunications Regulation
MAC,IT.MLT.MAIN.P2,Ministry of Information Industry and Ministry of Posts and Telecommunications (Directorate General of Telecommunications).  Bureau of Telecommunications Regulation
MAC,IT.NET.USER.ZS,Ministry of Information Industry and Ministry of Posts and Telecommunications (Directorate General of Telecommunications).  Bureau of Telecommunications Regulation
MAC,SM.POP.NETM,Data source: United Nations World Population Prospects
MAC,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 1995-2001: country data.
MAC,SP.POP.GROW,"Data source: Statistics and Census Service of Government of Macao SAR China, United Nations World Population Prospects"
MAC,SP.DYN.LE00.IN,Derived using male and female life expectancy
MAC,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
MAC,SP.DYN.CBRT.IN,"Data source: Statistics and Census Service of Government of Macao SAR China, United Nations World Population Prospects"
MAC,SP.DYN.CDRT.IN,"Data source: Statistics and Census Service of Government of Macao SAR China, United Nations World Population Prospects"
MAC,ST.INT.TVLR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MAC,IT.NET.BBND.P2,Ministry of Information Industry and Ministry of Posts and Telecommunications (Directorate General of Telecommunications).  Bureau of Telecommunications Regulation
MAC,SP.DYN.LE00.FE.IN,"Data source: Statistics and Census Service of Government of Macao SAR China, United Nations World Population Prospects"
MAC,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
MAC,SP.DYN.LE00.MA.IN,"Data source: Statistics and Census Service of Government of Macao SAR China, United Nations World Population Prospects"
MAC,IT.CEL.SETS.P2,Ministry of Information Industry and Ministry of Posts and Telecommunications (Directorate General of Telecommunications).  Bureau of Telecommunications Regulation
MAC,ST.INT.DPRT,Includes overnight visitors (tourists) and same-day visitors (excursionists).
MAC,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MAC,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MAC,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
MAC,IT.NET.BBND,Ministry of Information Industry and Ministry of Posts and Telecommunications (Directorate General of Telecommunications).  Bureau of Telecommunications Regulation
MAC,SP.DYN.TFRT.IN,"Data source: Statistics and Census Service of Government of Macao SAR China, United Nations World Population Prospects"
MAC,SM.POP.TOTL,"For statistical purposes, the data for China do not include this area."
MAC,ST.INT.ARVL,"Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. 2008: according to Statistics and Census Service, the visitor arrivals figures from year 2008 onward will not include other non-residents namely workers, students, etc."
MAC,SM.POP.TOTL.ZS,"For statistical purposes, the data for China do not include this area."
MAC,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MAC,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
MAC,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
MAC,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MDV,SP.DYN.LE00.IN,Data source: United Nations World Population Prospects
MDV,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
MDV,ST.INT.TVLX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MDV,SP.DYN.LE00.FE.IN,Data source: United Nations World Population Prospects
MDV,IT.MLT.MAIN.P2,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).  Communications Authority of Maldives.
MDV,IT.CEL.SETS,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).  Communications Authority of Maldives.
MDV,IT.NET.USER.ZS,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).  Communications Authority of Maldives.
MDV,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MDV,ST.INT.TRNX.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MDV,ST.INT.ARVL,Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Arrivals by air.
MDV,SP.POP.TOTL,Data source: United Nations World Population Prospects
MDV,ST.INT.TRNR.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MDV,IT.MLT.MAIN,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).  Communications Authority of Maldives.
MDV,SP.DYN.AMRT.FE,Data source: United Nations World Population Prospects
MDV,SP.POP.GROW,Data source: United Nations World Population Prospects
MDV,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
MDV,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are estimates based on Central Bank data. Short-term debt for 2024 are based on data from the BIS. DSSI eligible and participating in 2020 and 2021.
MDV,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
MDV,SP.DYN.CBRT.IN,Data source: United Nations World Population Prospects
MDV,IT.NET.BBND.P2,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).  Communications Authority of Maldives.
MDV,ST.INT.XPND.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MDV,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
MDV,ST.INT.DPRT,Includes overnight visitors (tourists) only.
MDV,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
MDV,SM.POP.NETM,Data source: United Nations World Population Prospects
MDV,SP.DYN.LE00.MA.IN,Data source: United Nations World Population Prospects
MDV,IT.CEL.SETS.P2,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).  Communications Authority of Maldives.
MDV,ST.INT.TVLR.CD,"Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. As part of the Maldives Monetary Authority efforts to improve the coverage of the balance of payments statistics, the methodology has been revised from 2005."
MDV,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
MDV,IT.NET.BBND,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).  Communications Authority of Maldives.
MMR,SM.POP.NETM,Data source: United Nations World Population Prospects
MMR,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
MMR,ST.INT.RCPT.CD,Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.
MMR,SP.DYN.TFRT.IN,Data source: United Nations World Population Prospects
MMR,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data. Short-term debt data are not available. DSSI eligible and participating in 2020, 2021, and 2022."
MMR,IT.CEL.SETS.P2,"Ministry of Communications, Posts and Telegraphs. From 1999: Post and Telecommunications Department."
MMR,SP.DYN.AMRT.MA,Data source: United Nations World Population Prospects
MMR,MS.MIL.XPND.CD,2012-2018 highly uncertain data.
MMR,SP.DYN.CDRT.IN,Data source: United Nations World Population Prospects
MMR,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
MMR,MS.MIL.XPND.CN,2012-218 & 2022 highly uncertain data.
